Feature,Importance
low20,0.035877388
low50,0.03287303
ema100,0.032711737
high20,0.032020226
bb_lower,0.031235373
high50,0.031026265
ema50,0.029308558
bb_upper,0.029206514
ema20,0.02885556
ema200,0.028677994
month,0.028095907
close,0.027324317
quarter,0.026635354
low,0.024812028
dist_ema200,0.02372153
volatility20,0.022743866
ema200_slope,0.022668183
high,0.022072531
ema100_slope,0.021751007
ema50_slope,0.020710777
day_of_week,0.020521207
adx14,0.020396242
spread,0.020160738
macd_signal,0.019895425
dist_ema100,0.019833285
macd,0.019822482
atr14,0.019813193
macd_hist,0.018436072
bb_width,0.018153872
dist_ema50,0.01811903
open,0.018067837
dist_ema20,0.017937288
return_20,0.01701833
hour,0.016904531
ema20_slope,0.016517252
rsi14,0.015377007
cci,0.014341563
roc,0.013982054
williams,0.013239413
return_10,0.012821578
stoch,0.012597747
real_volume,0.01243216
tick_volume,0.0122400345
return_5,0.011998682
return_3,0.010210348
lower_wick,0.010078483
body,0.009220382
upper_wick,0.00896692
return_1,0.008568642
